Conso;Glacage;Fourrage;Eclair;App glacage;Evocation glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Amer;Ressenti;Liking;Sexe;Age;CSP;Conso Patisseries;Attrait Patisseries;Difficulte Epreuve
10;Gfonce;Fmoyen;Gfonce_Fmoyen;10;chocolat;veritable,eclair,au,chocolat,peu_amer;2;4;4;2;decu;3;F;50/64;employes;occasionnellement;3;7
10;Gfonce;Ffaible;Gfonce_Ffaible;10;chocolat;veritable,eclair,au,chocolat,peu_amer;2;4;4;2;decu;2;F;50/64;employes;occasionnellement;3;7
10;Gfonce;Ffort;Gfonce_Ffort;10;chocolat;veritable,eclair,au,chocolat,peu_amer;3;4;3;2;decu;3;F;50/64;employes;occasionnellement;3;7
10;Gmoyen;Fmoyen;Gmoyen_Fmoyen;5;chocolat_au_lait,pas_assez_fonce;pas_assez_d_amer;3;4;3;2;agreablement surpris;7;F;50/64;employes;occasionnellement;3;7
10;Gmoyen;Ffort;Gmoyen_Ffort;5;chocolat_au_lait,pas_assez_fonce;pas_assez_d_amer;3;4;4;2;decu;2;F;50/64;employes;occasionnellement;3;7
10;Gmoyen;Ffaible;Gmoyen_Ffaible;5;chocolat_au_lait,pas_assez_fonce;pas_assez_d_amer;1;4;3;2;decu;4;F;50/64;employes;occasionnellement;3;7
11;Gmoyen;Ffort;Gmoyen_Ffort;8;chocolat_noir,fort;amer,sucre,moelleux;2;4;3;3;agreablement surpris;6;M;18/24;etudiants;regulierement;8;6
11;Gmoyen;Ffaible;Gmoyen_Ffaible;8;chocolat_noir,fort;amer,sucre,moelleux;2;3;4;2;decu;5;M;18/24;etudiants;regulierement;8;6
11;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;chocolat_noir,fort;amer,sucre,moelleux;2;4;4;1;decu;3;M;18/24;etudiants;regulierement;8;6
11;Gfonce;Ffaible;Gfonce_Ffaible;5;chocolat_tres_noir,+90%cacao;amer,manque_de_sucre;1;4;4;1;decu;3;M;18/24;etudiants;regulierement;8;6
11;Gfonce;Fmoyen;Gfonce_Fmoyen;5;chocolat_tres_noir,+90%cacao;amer,manque_de_sucre;3;4;4;3;agreablement surpris;7;M;18/24;etudiants;regulierement;8;6
11;Gfonce;Ffort;Gfonce_Ffort;5;chocolat_tres_noir,+90%cacao;amer,manque_de_sucre;3;3;3;3;je m attendais a ca;9;M;18/24;etudiants;regulierement;8;6
11;Gclair;Ffaible;Gclair_Ffaible;2;caramel,sucre;caramel,au,beurre_sale,cafe,doux,lacte;4;5;2;3;decu;4;M;18/24;etudiants;regulierement;8;6
11;Gclair;Ffort;Gclair_Ffort;2;caramel,sucre;caramel,au,beurre_sale,cafe,doux,lacte;4;2;2;4;decu;4;M;18/24;etudiants;regulierement;8;6
11;Gclair;Fmoyen;Gclair_Fmoyen;2;caramel,sucre;caramel,au,beurre_sale,cafe,doux,lacte;3;4;3;3;agreablement surpris;8;M;18/24;etudiants;regulierement;8;6
12;Gmoyen;Ffort;Gmoyen_Ffort;10;classique,appetissant;chocolat_au_lait,intense,pas_trop_sucre;3;4;3;3;je m attendais a ca;7;F;18/24;etudiants;occasionnellement;10;2
12;Gmoyen;Ffaible;Gmoyen_Ffaible;10;classique,appetissant;chocolat_au_lait,intense,pas_trop_sucre;3;4;3;3;je m attendais a ca;8;F;18/24;etudiants;occasionnellement;10;2
12;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;classique,appetissant;chocolat_au_lait,intense,pas_trop_sucre;3;3;3;3;agreablement surpris;9;F;18/24;etudiants;occasionnellement;10;2
12;Gfonce;Ffaible;Gfonce_Ffaible;8;chocolat_noir,fort;peu_sucre,assez,amer,chocolat_noir;2;3;3;2;decu;6;F;18/24;etudiants;occasionnellement;10;2
12;Gfonce;Fmoyen;Gfonce_Fmoyen;8;chocolat_noir,fort;peu_sucre,assez,amer,chocolat_noir;3;3;3;3;agreablement surpris;9;F;18/24;etudiants;occasionnellement;10;2
12;Gfonce;Ffort;Gfonce_Ffort;8;chocolat_noir,fort;peu_sucre,assez,amer,chocolat_noir;3;2;2;3;decu;7;F;18/24;etudiants;occasionnellement;10;2
12;Gclair;Ffaible;Gclair_Ffaible;4;cafe,caramel;sucre,fort,chocolat,peu_intense,peu_amer;4;2;3;4;tres agreablement surpris;8;F;18/24;etudiants;occasionnellement;10;2
12;Gclair;Ffort;Gclair_Ffort;4;cafe,caramel;sucre,fort,chocolat,peu_intense,peu_amer;4;2;3;4;agreablement surpris;8;F;18/24;etudiants;occasionnellement;10;2
12;Gclair;Fmoyen;Gclair_Fmoyen;4;cafe,caramel;sucre,fort,chocolat,peu_intense,peu_amer;3;3;3;3;je m attendais a ca;6;F;18/24;etudiants;occasionnellement;10;2
13;Gmoyen;Fmoyen;Gmoyen_Fmoyen;7;sucre,chocolat;chocolate,douceur,sucre;4;3;2;3;agreablement surpris;7;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gmoyen;Ffaible;Gmoyen_Ffaible;7;sucre,chocolat;chocolate,douceur,sucre;3;4;4;2;decu;5;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gmoyen;Ffort;Gmoyen_Ffort;7;sucre,chocolat;chocolate,douceur,sucre;5;3;2;4;decu;4;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gclair;Ffaible;Gclair_Ffaible;3;praline,noisette,caramel,cafe;cafe;3;3;3;2;je m attendais a ca;7;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gclair;Fmoyen;Gclair_Fmoyen;3;praline,noisette,caramel,cafe;cafe;3;4;3;3;je m attendais a ca;7;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gclair;Ffort;Gclair_Ffort;3;praline,noisette,caramel,cafe;cafe;3;3;2;3;je m attendais a ca;7;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gfonce;Ffort;Gfonce_Ffort;8;chocolat,force,noir;chocolat,puissant,intense;4;3;2;5;decu;3;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gfonce;Ffaible;Gfonce_Ffaible;8;chocolat,force,noir;chocolat,puissant,intense;3;4;3;3;agreablement surpris;8;F;18/24;autre: recherche d'emploi;regulierement;8;7
13;Gfonce;Fmoyen;Gfonce_Fmoyen;8;chocolat,force,noir;chocolat,puissant,intense;3;3;3;3;tres agreablement surpris;9;F;18/24;autre: recherche d'emploi;regulierement;8;7
14;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;gourmand,chocolat,sucre;caoutchouteux,sucre;2;3;3;2;je m attendais a ca;7;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gmoyen;Ffaible;Gmoyen_Ffaible;8;gourmand,chocolat,sucre;caoutchouteux,sucre;3;4;3;3;agreablement surpris;8;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gmoyen;Ffort;Gmoyen_Ffort;8;gourmand,chocolat,sucre;caoutchouteux,sucre;5;2;3;4;tres decu;4;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gclair;Ffaible;Gclair_Ffaible;4;cafe,amer,gourmand;forte_amer,de,cafe,sucre;4;3;3;5;decu;6;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gclair;Fmoyen;Gclair_Fmoyen;4;cafe,amer,gourmand;forte_amer,de,cafe,sucre;4;4;3;3;decu;7;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gclair;Ffort;Gclair_Ffort;4;cafe,amer,gourmand;forte_amer,de,cafe,sucre;4;2;3;2;decu;6;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gfonce;Ffort;Gfonce_Ffort;1;chocolat_noir;amer,intense,en,chocolat_noir;5;2;3;5;je m attendais a ca;2;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gfonce;Ffaible;Gfonce_Ffaible;1;chocolat_noir;amer,intense,en,chocolat_noir;2;4;3;2;agreablement surpris;6;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
14;Gfonce;Fmoyen;Gfonce_Fmoyen;1;chocolat_noir;amer,intense,en,chocolat_noir;4;3;3;3;je m attendais a ca;4;M;18/24;autre: recherche d'emploi;occasionnellement;7;6
15;Gclair;Ffaible;Gclair_Ffaible;7;gout,cafe;fraicheur,sucre,fondante;4;4;4;3;je m attendais a ca;4;F;18/24;etudiants;occasionnellement;4;6
15;Gclair;Fmoyen;Gclair_Fmoyen;7;gout,cafe;fraicheur,sucre,fondante;5;4;3;3;agreablement surpris;5;F;18/24;etudiants;occasionnellement;4;6
15;Gclair;Ffort;Gclair_Ffort;7;gout,cafe;fraicheur,sucre,fondante;2;4;2;4;decu;2;F;18/24;etudiants;occasionnellement;4;6
15;Gfonce;Ffort;Gfonce_Ffort;8;chocolat_noir;sucre,fondant,fraicheur,forte_intense_en_chocolat;2;4;4;4;je m attendais a ca;7;F;18/24;etudiants;occasionnellement;4;6
15;Gfonce;Ffaible;Gfonce_Ffaible;8;chocolat_noir;sucre,fondant,fraicheur,forte_intense_en_chocolat;3;3;3;3;agreablement surpris;10;F;18/24;etudiants;occasionnellement;4;6
15;Gfonce;Fmoyen;Gfonce_Fmoyen;8;chocolat_noir;sucre,fondant,fraicheur,forte_intense_en_chocolat;3;4;3;4;agreablement surpris;7;F;18/24;etudiants;occasionnellement;4;6
